Codigo,Nome,Volume
CSAB3,Cia. de Seg. Aliança da Bahia,100
MERC3,Mercantil do Brasil Financeira,51500
BDLL3,Bardella,100
DMFN3,DMFN3,100
BDLL4,Bardella,100
CALI3,Adolpho Lindenberg,500
GSHP3,General Shopping & Outlets,400
CEGR3,Naturgy (CEG),100
BRGE8,Consórcio Alfa,100
CSRN6,COSERN,100
CRPG3,Tronox Pigmentos,100
CBEE3,Ampla Energia,100
PEAB3,Participações Aliança da Bahia,1000
MAPT3,Cemepe,300
SOND5,Sondotécnica,100
CSRN5,COSERN,100
AHEB6,São Paulo Turismo,100
CRDE3,CR2,400
ESTR3,Estrela,100
FESA3,Ferbasa,400
RPAD3,Alfa Holdings,700
IGBR3,IGB Eletrônica,700
COCE3,Coelce,100
BRGE11,Consórcio Alfa,100
BRGE6,Consórcio Alfa,400
MSPA4,Melhoramentos,100
MRSA6B,MRS Logística,200
BRGE7,Consórcio Alfa,400
AHEB5,São Paulo Turismo,100
DOHL3,Döhler,100
JOPA4,Josapar,200
MWET3,Wetzel,200
EKTR3,Elektro,100
BRGE12,Consórcio Alfa,400
ODER4,Conservas Oderich,100
CEEB5,COELBA,100
EQPA7,Equatorial Energia Pará,300
PARD3,Hermes Pardini,1861800
CASN3,CASAN,100
WLMM3,WLM,500
MAPT4,Cemepe,200
CEED4,CEEE D,100
MTSA3,METISA,200
MRSA5B,MRS Logística,100
WIZS3,WIZS3,779400
LLIS3,LLIS3,249800
MSPA3,Melhoramentos,400
BRML3,BRMalls,16132900
DMMO3,Dommo Energia,3254800
EQPA5,Equatorial Energia Pará,100
GETT3,Getnet,46500
GETT4,Getnet,18500
SULA4,SulAmérica,18600
SULA3,SulAmérica,4000
BRGE5,Consórcio Alfa,800
MRSA3B,MRS Logística,100
CEPE5,CELPE,100
TCNO4,Tecnosolo,36800
TCNO3,Tecnosolo,3400
CEPE6,CELPE,100
BKBR3,BKBR3,782300
MTIG4,Metalgráfica Iguaçu,100
BLUT4,Blue Tech Solutions,171100
BLUT3,Blue Tech Solutions,13400
MODL4,Banco Modal,700
CARD3,CARD3,118000
SHUL3,Schulz,100
FIGE3,Investimentos Bemge,100
